A_KEY_TIME_MEAN,BOTH_DEV_CC_COUNT,GAP_D1,GAP_D5,GAP_SD,KEY_COUNT,KEY_TIME,MANY_KEYS_BY_KEY_PRESSED,MOUSE_COUNT,MOUSE_DDIR_D1,MOUSE_DDIR_D2,MOUSE_DDIR_D3,MOUSE_DIR_D1,MOUSE_DIR_D5,MOUSE_DIR_D6,MOUSE_DIST_D1,MOUSE_DIST_D2,MOUSE_DIST_D3,MOUSE_DIST_D4,MOUSE_DIST_D5,MOUSE_DIST_D6,MOUSE_DIST_D7,MOUSE_GAP_D1,MOUSE_GAP_D2,MOUSE_GAP_D3,MOUSE_SPEED_D1,MOUSE_SPEED_D2,MOUSE_SPEED_D3,MOUSE_SPEED_D5,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_DOWN_D1,MULTIPLE_KEYS_UP,MULTIPLE_KEYS_UP_D1
0.101,0.152,0.015,0.083,0.879,667.0,0.1,0.112,215,0.08,0.098,0.359,61.26,111.682,119.82,0.0,0.0,0.0,0.0,0.0,0.0,59.908,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.101,0.146,0.015,0.083,0.864,712.0,0.1,0.105,223,0.078,0.095,0.374,61.26,111.682,119.055,0.0,0.0,0.0,0.0,0.0,0.0,59.908,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
0.101,0.163,0.015,0.083,0.857,739.0,0.1,0.101,230,0.075,0.098,0.368,61.26,111.682,119.055,0.0,0.0,0.0,0.0,0.0,0.0,59.908,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.1,0.157,0.015,0.083,0.832,789.0,0.1,0.095,236,0.074,0.101,0.374,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.1,0.154,0.015,0.083,0.851,797.0,0.1,0.094,242,0.071,0.097,0.371,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.1,0.148,0.014,0.083,0.827,847.0,0.1,0.089,248,0.07,0.104,0.373,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.1,0.143,0.014,0.083,0.83,866.0,0.1,0.095,256,0.067,0.101,0.369,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
0.1,0.14,0.014,0.083,0.806,920.0,0.1,0.137,259,0.067,0.1,0.376,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
0.1,0.138,0.014,0.083,0.801,949.0,0.1,0.156,265,0.065,0.102,0.365,61.26,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0.1,0.133,0.014,0.083,0.782,1002.0,0.1,0.188,271,0.063,0.1,0.378,61.26,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
0.1,0.148,0.014,0.083,0.782,1025.0,0.1,0.199,277,0.062,0.102,0.367,61.504,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.1,0.145,0.014,0.083,0.768,1068.0,0.0,0.191,287,0.061,0.102,0.371,61.504,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
0.101,0.156,0.015,0.083,0.757,1101.0,0.1,0.185,294,0.066,0.097,0.366,61.504,111.682,117.79,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.101,0.152,0.014,0.083,0.759,1135.0,0.1,0.197,312,0.065,0.095,0.379,61.504,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
0.101,0.162,0.014,0.083,0.759,1157.0,0.1,0.199,321,0.062,0.098,0.374,61.504,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
0.102,0.157,0.014,0.082,0.752,1182.0,0.1,0.195,328,0.06,0.102,0.368,61.26,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
